title,venue,year,author,volume,url
A Huber Loss Minimization Approach to Byzantine Robust Federated Learning.,AAAI,2024,"Puning Zhao, Fei Yu, Zhiguo Wan",,https://doi.org/10.1609/aaai.v38i19.30181
A Primal-Dual Algorithm for Hybrid Federated Learning.,AAAI,2024,"Tom Overman, Garrett Blum, Diego Klabjan",,https://doi.org/10.1609/aaai.v38i13.29363
A Privacy Preserving Federated Learning (PPFL) Based Cognitive Digital Twin (CDT) Framework for Smart Cities.,AAAI,2024,,,https://doi.org/10.1609/aaai.v38i21.30400
Adapted Weighted Aggregation in Federated Learning.,AAAI,2024,,,https://doi.org/10.1609/aaai.v38i21.30557
Algorithmic Foundation of Federated Learning with Sequential Data.,AAAI,2024,,,https://doi.org/10.1609/aaai.v38i20.30291
Beyond Traditional Threats: A Persistent Backdoor Attack on Federated Learning.,AAAI,2024,"Tao Liu, Yuhang Zhang, Zhu Feng, Zhiqin Yang, Chen Xu 0008, Dapeng Man, Wu Yang 0001",,https://doi.org/10.1609/aaai.v38i19.30131
CLIP-Guided Federated Learning on Heterogeneity and Long-Tailed Data.,AAAI,2024,"Jiangming Shi, Shanshan Zheng, Xiangbo Yin, Yang Lu, Yuan Xie, Yanyun Qu",,https://doi.org/10.1609/aaai.v38i13.29416
Calibrated One Round Federated Learning with Bayesian Inference in the Predictive Space.,AAAI,2024,"Mohsin Hasan, Guojun Zhang, Kaiyang Guo, Xi Chen, Pascal Poupart",,https://doi.org/10.1609/aaai.v38i11.29122
Combating Data Imbalances in Federated Semi-supervised Learning with Dual Regulators.,AAAI,2024,"Sikai Bai, Shuaicheng Li, Weiming Zhuang, Jie Zhang, Kunlin Yang, Jun Hou, Shuai Yi, Shuai Zhang, Junyu Gao 0001",,https://doi.org/10.1609/aaai.v38i10.28974
Complementary Knowledge Distillation for Robust and Privacy-Preserving Model Serving in Vertical Federated Learning.,AAAI,2024,"Dashan Gao 0002, Sheng Wan, Lixin Fan, Xin Yao, Qiang Yang 0001",,https://doi.org/10.1609/aaai.v38i18.29958
Concealing Sensitive Samples against Gradient Leakage in Federated Learning.,AAAI,2024,"Jing Wu, Munawar Hayat, Mingyi Zhou, Mehrtash Harandi",,https://doi.org/10.1609/aaai.v38i19.30171
Data Disparity and Temporal Unavailability Aware Asynchronous Federated Learning for Predictive Maintenance on Transportation Fleets.,AAAI,2024,"Leonie von Wahl, Niklas Heidenreich, Prasenjit Mitra, Michael Nolting, Nicolas Tempelmeier",,https://doi.org/10.1609/aaai.v38i14.29467
EMGAN: Early-Mix-GAN on Extracting Server-Side Model in Split Federated Learning.,AAAI,2024,"Jingtao Li, Xing Chen, Li Yang 0009, Adnan Siraj Rakin, Deliang Fan, Chaitali Chakrabarti",,https://doi.org/10.1609/aaai.v38i12.29258
Efficient Asynchronous Federated Learning with Prospective Momentum Aggregation and Fine-Grained Correction.,AAAI,2024,"Yu Zang, Zhe Xue, Shilong Ou, Lingyang Chu, Junping Du, Yunfei Long",,https://doi.org/10.1609/aaai.v38i15.29603
Exploiting Label Skews in Federated Learning with Model Concatenation.,AAAI,2024,"Yiqun Diao, Qinbin Li, Bingsheng He",,https://doi.org/10.1609/aaai.v38i10.29063
Exploring One-Shot Semi-supervised Federated Learning with Pre-trained Diffusion Models.,AAAI,2024,"Mingzhao Yang, Shangchao Su, Bin Li 0015, Xiangyang Xue",,https://doi.org/10.1609/aaai.v38i15.29568
FairTrade: Achieving Pareto-Optimal Trade-Offs between Balanced Accuracy and Fairness in Federated Learning.,AAAI,2024,"Maryam Badar, Sandipan Sikdar, Wolfgang Nejdl, Marco Fisichella",,https://doi.org/10.1609/aaai.v38i10.28971
Fed-QSSL: A Framework for Personalized Federated Learning under Bitwidth and Data Heterogeneity.,AAAI,2024,"Yiyue Chen, Haris Vikalo, Chianing Wang",,https://doi.org/10.1609/aaai.v38i10.29025
FedASMU: Efficient Asynchronous Federated Learning with Dynamic Staleness-Aware Model Update.,AAAI,2024,"Ji Liu 0003, Juncheng Jia, Tianshi Che, Chao Huo, Jiaxiang Ren 0001, Yang Zhou 0001, Huaiyu Dai, Dejing Dou",,https://doi.org/10.1609/aaai.v38i12.29297
FedCD: Federated Semi-Supervised Learning with Class Awareness Balance via Dual Teachers.,AAAI,2024,"Yuzhi Liu, Huisi Wu, Jing Qin 0001",,https://doi.org/10.1609/aaai.v38i4.28175
FedCSL: A Scalable and Accurate Approach to Federated Causal Structure Learning.,AAAI,2024,"Xianjie Guo, Kui Yu, Lin Liu, Jiuyong Li",,https://doi.org/10.1609/aaai.v38i11.29113
FedCompetitors: Harmonious Collaboration in Federated Learning with Competing Participants.,AAAI,2024,"Shanli Tan, Hao Cheng, Xiaohu Wu, Han Yu, Tiantian He, Yew Soon Ong, Chongjun Wang, Xiaofeng Tao",,https://doi.org/10.1609/aaai.v38i14.29446
FedDAT: An Approach for Foundation Model Finetuning in Multi-Modal Heterogeneous Federated Learning.,AAAI,2024,"Haokun Chen, Yao Zhang, Denis Krompass, Jindong Gu, Volker Tresp",,https://doi.org/10.1609/aaai.v38i10.29007
